alim_nom_fr,alim_code,kcal,proteins,carbohydrates,lipids,alim_nom_eng,kcal_control
Poivron rouge; appertisé; égoutté,20275,0,0.91,4.42,0.77,Sweet pepper; red; canned; drained,28.25
Asperge blanche; bouillie/cuite à l'eau,20277,18.6,1.44,1.63,0.3,Asparagus; white; boiled/cooked in water,18.6
Céleri-rave; purée,20278,0,1.37,2.83,0.18,Celeriac; puree,18.42
Petits pois; purée,20284,0,4.8,8,2.8,Green peas; puree,76.4
Épinard; purée,20285,0,3.7,5.2,2.2,Spinach; puree,55.400000000000006
Tomate; pulpe et peau; rôtie/cuite au four,20289,31.1,0.88,4.13,0.6,Tomato; roasted/baked; with skin,31.1
Chou romanesco ou brocoli à pomme; cuit,20290,35.8,3,2.03,0.8,Romanesco cauliflower or romanesco broccoli; cooked,35.8
Potimarron; pulpe; cuit à l'étouffée,20291,44.8,1.31,7.05,0.5,Red kuri squash; pulp; braised,44.8
Courge musquée; pulpe; cuite,20292,30.7,1.06,5.24,0,Pumpkin (cucurbita moschata); pulp; cooked,30.7
Carotte; purée cuisinée à la crème; préemballée,20298,44.4,1.44,4.57,1.6,Carrots; puree with cream,44.4
Asperge verte; bouillie/cuite à l'eau,20299,26.6,2.69,1.73,0.3,Asparagus; green; boiled/cooked in water,26.6
Aubergine; pulpe et peau; rôtie/cuite au four,20300,33.8,1.31,3.83,0,Eggplant; pulp and skin; roasted/baked,33.8
Bette ou blette; côte et feuille; bouillie/cuite à l'eau,20301,16.9,0.88,1.43,0.3,Swiss chard; leaf and stalk; boiled/cooked in water,16.9
Brocoli; bouilli/cuit à l'eau; croquant,20302,23.5,2.5,1.23,0.4,Broccoli; boiled/cooked in water; crunchy,23.5
Brocoli; bouilli/cuit à l'eau; fondant,20303,23.1,2.19,1.03,0.5,Broccoli; boiled/cooked in water; tender,23.1
Brocoli; cuit à la vapeur,20304,37.6,4.13,2.53,0.7,Broccoli; steamed,37.6
Carotte; bouillie/cuite à l'eau; croquante,20305,35.7,0.75,6.33,0,Carrot; boiled/cooked in water; crunchy,35.7
Carotte; bouillie/cuite à l'eau; fondante,20306,31.6,0,5.73,0,Carrot; boiled/cooked in water; tender,31.6
Carotte; cuite à la vapeur,20307,41.6,0.63,7.33,0.3,Carrot; steamed,41.6
Chou blanc; bouilli/cuit à l'eau,20308,23.5,1,3.23,0,White cabbage; boiled/cooked in water,23.5
Chou de Bruxelles; bouilli/cuit à l'eau,20309,45.4,3.19,5.4,0,Brussels sprout; boiled/cooked in water,45.4
Chou rouge; cuit à l'étouffée,20310,34.9,1.19,5.7,0,Red cabbage; braised,34.9
Chou vert; bouilli/cuit à l'eau,20311,21.6,1.63,1.83,0,Green cabbage; boiled/cooked in water,21.6
Chou-fleur; cuit à la vapeur,20312,30.1,2.56,3.41,0.3,Cauliflower; steamed,30.1
Courgette; pulpe et peau; rôtie/cuite au four,20313,23,1.5,3.13,0,Courgette or zucchini; pulp and peel; roasted/baked,23
Céleri branche; cuit à l'étouffée,20314,16.7,0.75,2.48,0,Celery stalk; braised,16.7
Céleri rave; bouilli/cuit à l'eau,20315,26.2,0.94,4.32,0.3,Celeriac; boiled/cooked in water,26.2
Endive; rôtie/cuite au four,20316,23.5,1.13,4.38,0,Chicory; roasted/baked,23.5
Fenouil; cuit à l'étouffée,20317,13.7,0,1.94,0,Fennel; braised,13.7
Haricot beurre; bouilli/cuit à l'eau,20318,34.6,2.19,4.45,0.3,Butter bean or yellow bean; boiled/cooked in water,34.6
Haricot vert; bouilli/cuit à l'eau,20320,28,1.75,3.39,0,French bean; boiled/cooked in water,28
Navet; bouilli/cuit à l'eau,20321,21.1,0.75,3.23,0,Turnip; boiled/cooked in water,21.1
Oignon blanc ou jaune; sauté/poêlé sans matière grasse,20322,40.2,1.56,6.73,0,Onion; white or yellow; sautéed/pan-fried; without fat,40.2
Oignon nouveau ou oignon frais ou cébette; sauté/poêlé sans matière grasse,20323,27.6,1.13,3.56,0.3,Spring onion; sautéed/pan-fried; without fat,27.6
Oignon rouge; sauté/poêlé sans matière grasse,20324,42.4,1.69,7.55,0,Onion; red; sautéed/pan-fried; without fat,42.4
Panais; cuit à l'étouffée,20325,90.8,1.94,16.6,0.5,Parsnip; braised,90.8
Petits pois; bouillis/cuits à l'eau,20326,80.3,6.38,9.93,0.6,Garden peas; boiled/cooked in water,80.3
Poireau; bouilli/cuit à l'eau,20327,27.4,2.56,2.23,0,Leek; boiled/cooked in water,27.4
Poivron jaune; sauté/poêlé sans matière grasse,20328,35.8,1,5.33,0.6,Pepper; sweet; yellow; sautéed/pan-fried; without fat,35.8
Poivron rouge; sauté/poêlé sans matière grasse,20329,35.7,0.94,6.53,0,Pepper; sweet; red; sautéed/pan-fried; without fat,35.7
Poivron vert; sauté/poêlé sans matière grasse,20330,28.6,1.25,3.53,0.3,Pepper; sweet; green; sautéed/pan-fried; without fat,28.6
Potimarron; pulpe; bouilli/cuit à l'eau,20331,38.2,1.06,6.88,0.3,Red kuri squash; pulp; boiled/cooked in water,38.2
Potiron; rôti/cuit au four,20332,30.2,0,5.66,0,Pumpkin; roasted/baked,30.2
Salsifis; bouilli/cuit à l'eau,20333,57.9,2.63,9.29,0,Salsify; boiled/cooked in water,57.9
Tomate; rôtie/cuite au four,20334,25.3,1,3.53,0.4,Tomato; roasted/baked,25.3
Échalote; sautée/poêlée sans matière grasse,20335,66.9,2,12.3,0.4,Shallot; grilled/pan-fried; without fat,66.9
Épinard; bouilli/cuit à l'eau,20336,28.1,3.38,0,0.7,Spinach; boiled/cooked in water,28.1
Légumes pour couscous; cuits,20497,0,1.53,2.55,0.43,Mixed vegetables for couscous; cooked,20.19
Légume cuit (aliment moyen),20499,43.5,2.11,5.81,0.3,Vegetable; cooked (average),43.5
Crosne; cuit,20590,50.8,2.13,9.11,0,Chinese or Japanese artichokes; cooked,50.8
Gombo; fruit; cuit,58103,0,1.87,2.01,0.21,Okra; cooked; without salt,17.41
Carotte; déshydratée,20092,0,8.1,56,1.49,Carrot; dehydrated,269.81
Oignon; séché,20180,0,8.95,75,0.46,Onion; dried,339.94
Tomate; séchée,20189,0,14.2,43.3,2.99,Tomato; dried,256.91
Champignon noir; séché,20202,0,7.27,0,0.075,Chinese black mushroom; dried,29.755
Champignon; lentin comestible ou shiitaké; séché,20211,316,9.58,63.9,0.99,Shiitake mushroom; dried,316
Tomate; séchée; à l'huile,20256,187,4.27,13.4,11.7,Tomato; dried; in oil,187
Banane jaune; pulpe; cuite à la vapeur; prélevée à la Martinique,20800,0,1.06,0,0.057,Yellow banana; pulp; steamed; sampled in the island of La Martinique,4.753
Chips de giraumon (variété locale); pulpe; prélevé à la Martinique,20801,0,0,12.3,0,Pumpkin (local variety); crisps; sampled in the island of La Martinique,49.2
Chips de giraumon (variété phoenix); pulpe; prélevé à la Martinique,20802,0,0,13.9,0,Pumpkin (phoenix variety); crisps; sampled in the island of La Martinique,55.6
Chou dur ou chou caraïbe; pulpe; cuit à la vapeur; prélevé à la Martinique,20803,0,3.25,0,0.0033,Caribbean cabbage; pulp; steamed; sampled in the island of La Martinique,13.0297
Christophine à peau blanche; pulpe; cuite à la vapeur; prélevée à la Martinique,20804,0,1.21,5.93,0.033,Chayote; white skin; pulp; steamed; sampled in the island of La Martinique,28.857
Christophine à peau verte; pulpe; cuite à la vapeur; prélevée à la Martinique,20805,0,1.23,4.6,0.023,Chayote;green skin; pulp; steamed; sampled in the island of La Martinique,23.527
Christophine blanche; pulpe; appertisée; non égouttée; prélevée à la Martinique,20806,0,0,0,0,Chayote; white skin; pulp; canned; not drained; sampled in the island of La Martinique,0
Christophine; pulpe; cuite à la vapeur; surgelée; prélevée à la Martinique,20807,0,0,0,0,Chayote; white skin; pulp; steamed; frozen; sampled in the island of La Martinique,0
Concombre; pulpe avec graines; cru; prélevé à la Martinique,20808,0,0.73,0,0.58,Cucumber; pulp with seeds; raw; sampled in the island of La Martinique,8.14
Concombre; pulpe; cru; prélevé à la Martinique,20809,0,0.42,0,0.27,Cucumber; pulp; raw; sampled in the island of La Martinique,4.11
Cresson; feuille; cru; prélevé à la Martinique,20810,0,2.25,0,0.1,Watercress; leaf; raw; sampled in the island of La Martinique,9.9
Dachine; pulpe; cuit à la vapeur; prélevé à la Martinique,20811,0,1.15,0,0.3,Dachine; pulp; steamed; sampled in the island of La Martinique,7.299999999999999
Farine de pulpe de patate douce; prélevée à la Martinique,20812,0,0,50.1,0,Sweet potatoe flour; sampled in the island of La Martinique,200.4
Fruit à pain; pulpe; cuit à la vapeur; prélevé à la Martinique,20813,0,1.29,0,0.11,Breadfruit; pulp; steamed; sampled in the island of La Martinique,6.15
Giraumon (variété locale); pulpe; cuit à la vapeur; prélevé à la Martinique,20814,0,1.1,4.51,0.097,Pumpkin (local variety); pulp; steamed; sampled in the island of La Martinique,23.313
Giraumon (variété locale); pulpe; cuit à la vapeur; surgelé; prélevé à la Martinique,20815,0,0,3.75,0,Pumpkin (local variety); pulp; steamed; frozen; sampled in the island of La Martinique,15
Giraumon (variété locale); pulpe; râpé; cru; prélevé à la Martinique,20816,0,0,2.42,0,local variety); pulp; grated; raw; sampled in the island of La Martinique,9.68
Giraumon (variété phoenix); pulpe; cuit à la vapeur; prélevé à la Martinique,20817,0,1.03,5.62,0.05,Pumpkin (phoenix variety); pulp; steamed; sampled in the island of La Martinique,27.05
Giraumon (variété phoenix); pulpe; râpé; cru; prélevé à la Martinique,20818,0,0,3.51,0,Pumpkin (phoenix variety); pulp; grated; raw; sampled in the island of La Martinique,14.04
Giraumon (variété phoenix); pulpe; surgelé; cuit à la vapeur; prélevé à la Martinique,20819,0,0,4.37,0,Pumpkin (phoenix variety); pulp; frozen; steamed; sampled in the island of La Martinique,17.48
Gombo; entier; appertisé; non égoutté; prélevé à la Martinique,20820,0,0,0,0,Okra; whole; canned; not drained; sampled in the island of La Martinique,0
Gombo; entier; cuit à la vapeur; prélevé à la Martinique,20821,0,1.8,4.69,0.3,Okra; whole; canned; steamed; sampled in the island of La Martinique,28.66
Gombo; pulpe; blanchi; surgelé; prélevé à la Martinique,20822,0,0.24,5.28,0.1,Okra; pulp; blanched; frozen; sampled in the island of La Martinique,22.98
Igname cousse-couche; pulpe; cuit à la vapeur; prélevé à la Martinique,20823,0,1.65,17.9,0.3,Yam cousse-couche; pulp; steamed; sampled in the island of La Martinique,80.89999999999999
Igname jaune; pulpe; cuit à la vapeur; prélevé à la Martinique,20824,0,2.04,27.6,0.37,Yam yellow; pulp; steamed; sampled in the island of La Martinique,121.89
Igname saint martin; pulpe; cuit à la vapeur; prélevé à la Martinique,20825,0,2.25,18.4,0.3,Yam St Martin; pulp; steamed; sampled in the island of La Martinique,85.3
Topinambour; pulpe; cuit à la vapeur; prélevé à la Martinique,20826,0,1.23,0,0.18,Jerusalem artichokee; pulp; steamed; sampled in the island of La Martinique,6.54
Kamanioc; pulpe; cuit à la vapeur; prélevé à la Martinique,20827,0,0.6,0,0,Kamanioc; pulp; steamed,2.4
Massissi; pulpe; cru; prélevé à la Martinique,20828,0,2.58,0,0.8,Massissi; pulp; raw,17.52
Papaye; pulpe; crue; prélevée à la Martinique,20829,0,0.67,0,0.0033,Papaya; pulp; raw; from Martinique,2.7097
Papaye; pulpe; cuite à la vapeur; prélevée à la Martinique,20830,0,0.63,0,0,Papaya; pulp; steamed,2.52
Patate douce; pulpe; blanchie; surgelée; prélevée à la Martinique,20831,0,0,19.3,0,Sweet potatoe; pulp; blanched; frozen,77.2
Patate douce; pulpe; cuite à la vapeur; prélevée à la Martinique,20832,0,1.48,25.2,0.067,Sweet potatoe; pulp; steamed,107.323
Pois d'angole; entier; cuit à la vapeur; prélevé à la Martinique,20833,0,16.3,0,0.74,Pigeon pea; whole; steamed,71.86
Ti nain; pulpe; cuit à la vapeur; prélevé à la Martinique,20834,0,1.13,0,0.05,Ti nain; pulp; steamed,4.97
Tomate; entière; crue; prélevée à la Martinique,20835,0,1.06,0,0.06,Tomatoe; whole; raw,4.78
Brèdes chou de Chine ou bok choy ou pak choï; tiges et feuilles; cuites à la vapeur; prélevées à La Réunion (Brassica rapa subsp. Chinensis),20296,17.7,1.69,1.7,0,Chinese cabbageor bok choï bredes; rods and leafs; steamed; from the island La Réunion (Brassica rapa subsp. Chinensis),17.7
Chayote ou christophine ou chouchou; pulpe avec pépins; cuite à la vapeur; prélevée à La Réunion (Sechium edule),20297,22.2,0.63,3.5,0,Chayote; without skin; steamed; from the Island La Réunion (Sechium edule),22.2
Tapioca ou Perles du Japon; cru,4000,354,0.19,87.8,0.02,Tapioca; raw,354
Pomme de terre; sans peau; rôtie/cuite au four,4002,91.9,1.96,20.1,0.1,Potato; peeled; roasted/baked,91.9
Pomme de terre; bouillie/cuite à l'eau,4003,80.5,1.8,16.7,0.34,Potato; boiled/cooked in water,80.5
Chips de pommes de terre nature ou aromatisées; standard,4004,545,5.67,51.1,34.3,Potato; crisps; plain or flavoured,545
Pomme de terre nouvelle; bouillie/cuite à l'eau,4007,0,1.44,0,0.3,Potato; new; boiled/cooked in water,8.459999999999999
Pomme de terre; sans peau; crue,4008,80.5,2.16,16.2,0.18,Potato; peeled; raw,80.5
Pomme de terre; appertisée; égouttée,4011,59.9,1.47,11.7,0.34,Potato; canned; drained,59.9
Pomme de terre noisette; surgelée; crue,4013,181,2.76,24.9,7.22,Mashed potato balls pre-fried; frozen; raw,181
Pomme de terre vapeur; sous vide,4014,73.6,1.7,15.4,0.2,Potato; steamed; vacuum-packed,73.6
Pomme de terre poêlée; avec matière grasse,4015,137,2.5,17.3,5.7,Potato; sautéed/pan-fried,137
Pomme de terre; flocons déshydratés; au lait ou à la crème,4016,371,10.6,69.4,3.97,Potato flakes; dehydrated; with milk or cream,371
Pomme de terre; purée à base de flocons; reconstituée avec lait entier; matière grasse,4017,97.9,1.92,10.2,5.18,Potato puree; made from flakes; reconstituted with whole milk; with added fat,97.9
Pomme de terre; purée; avec lait et beurre; non salée,4018,88.8,1.89,14.2,2.4,Potato puree; with milk and butter; unsalted,88.8
Pomme de terre; purée à base de flocons; reconstituée avec lait demi-écrémé et eau; non salée,4019,67.3,2.63,12.1,0.53,Potato puree; made from flakes; reconstituted with semi-skimmed milk and water; unsalted,67.3
Pomme de terre dauphine; surgelée; crue,4020,285,4.62,25.6,17.7,Dauphine potato; frozen; raw,285
Pomme de terre dauphine; surgelée; cuite,4021,302,4.5,30.2,17.7,Dauphine potato; frozen; cooked,302
Pomme de terre; flocons déshydratés; nature,4022,361,8.04,76.1,0.46,Potato flakes; dehydrated; plain,361
Pomme de terre nouvelle; crue,4023,76.4,1.88,15.9,0.3,New potato; raw,76.4
Potatoes ou Wedges ou Quartiers de pommes de terre épicés; surgelées; cuites,4025,174,3.25,25.3,5.8,Potato chip; quarter; spiced; frozen; cooked,174
Pomme de terre; rôtie/cuite au four,4026,89.4,2.5,18.5,0.13,Potato; roasted/baked,89.4
Pomme de terre sautée/rissolée; pré-frite; surgelée; cuite,4027,156,2.81,23,4.8,Potato; pre-fried into cubes; frozen; cooked,156
Pomme de terre de conservation; sans peau; bouillie/cuite à l'eau,4028,76.1,1.81,15.7,0,Ware potato; boiled/cooked in water; peeled,76.1
Pomme de terre primeur; sans peau; bouillie/cuite à l'eau,4029,71.6,1.84,14.9,0,Early potato; boiled/cooked in water; peeled,71.6
Frites de pommes de terre; surgelées; rôties/cuites au four,4030,213,3.75,32.6,6.6,French fries or chips; frozen; roasted/baked,213
Frites de pommes de terre; surgelées; cuites en friteuse,4032,285,3.28,39.4,11.9,French fries or chips; frozen; deep-fried,285
Pomme de terre duchesse; surgelée; cuite,4034,218,3.44,29.5,8.5,Duchesse potato; frozen; cooked,218
Pomme de terre noisette; surgelée; cuite,4035,191,2.81,28.5,6.6,Mashed potato balls pre-fried; frozen; cooked,191
Pomme de terre sautée/poêlée à la graisse de canard,4036,213,2.54,21.9,12.1,Potato; sautéed/pan-fried; with goose fat,213
Chips de pommes de terre nature ou aromatisées; à l'ancienne,4037,570,5.62,49.8,37.6,"Potato crisps; ""à l'ancienne"" (old-fashioned style)",570
Chips de pommes de terre et assimilés nature ou aromatisées; allégées en matière grasse,4038,463,6.58,62.1,19.8,Potato crisps and related; reduced fat,463
Rostis ou Galette de pomme de terre,4039,182,2.38,22.5,8.3,Rostis or Potatoes cake,182
Pomme de terre duchesse; surgelée; crue,4042,178,2.8,23.2,7.72,Duchesse potato; frozen; raw,178
Pomme de terre sautée/ rissolée; pré-frites; surgelée; crue,4043,135,2.32,20.9,4.2,Potato; pre-fried into cubes; frozen; raw,135
Frites de pommes de terre; surgelées; préfrites; pour cuisson rôtie/ au four,4044,154,2.41,23.4,5.09,French fries or chips; frozen; pre-fried; raw; intended to be roasted/baked,154
Frites de pommes de terre; surgelées; préfrites; pour cuisson micro-ondes,4045,254,3.5,34,10.8,French fries or chips; frozen; pre-fried; aw; intended to be microwaved,254
Frites de pommes de terre; surgelées; préfrites; pour cuisson en friteuse,4046,244,3.12,29.1,12.1,French fries or chips; frozen; pre-fried; raw; intended to be deep-fried,244
Pomme de terre; purée (aliment moyen),4047,91.8,2.11,12.7,3.25,Mashed potatoes (average),91.8
Pomme de terre; cuite (aliment moyen),4048,93.2,2.01,17.2,1.37,Potato; cooked (average food),93.2
Patate douce; crue,4101,86.3,1.51,18.3,0.15,Sweet potato; raw,86.3
Patate douce; cuite,4102,62.8,1.69,12.2,0.15,Sweet potato; cooked,62.8
Patate douce; purée; cuisinée à la crème,4103,79.8,1.1,12.1,2,Sweet potato; puree; cooked with cream,79.8
Topinambour; cuit,20050,81.9,1.8,16,0.7,Jerusalem artichoke; cooked,81.9
Topinambour; cru,20196,60.7,1.94,11.5,0.31,Jerusalem artichoke; raw,60.7
Banane plantain; cuite,53101,125,0.79,28.9,0.18,Plantain banana; cooked,125
Taro; tubercule; cru,53200,107,1.5,22.8,0.2,Taro; tuber; raw,107
Taro; tubercule; cuit,53201,131,0.52,29.5,0.11,Taro; tuber; cooked,131
Igname; épluchée; crue,53502,111,1.53,23.8,0.17,Yam or Indian potato; peeled; raw,111
Igname; épluchée; bouillie/cuite à l'eau,53503,109,1.49,23.6,0.14,Yam or Indian potato; peeled; boiled/cooked in water,109
Manioc; racine crue,54031,157,1.31,36.3,0.29,Cassava or manioc; roots; raw,157
Manioc; racine cuite,54034,132,0.69,32,0.043,Cassava or manioc; roots; cooked,132
Fruit à pain; cru,54500,105,1.07,22.2,0.23,Breadfruit; raw,105
Haricot coco; bouilli/cuit à l'eau,20293,131,9.63,13.7,0.5,Coco bean; boiled/cooked in water,131
Fève; bouillie/cuite à l'eau,20500,82.9,8.06,9.35,0.8,Broad bean; boiled/cooked in water,82.9
Haricot blanc; bouilli/cuit à l'eau,20502,112,6.75,12,1.1,Haricot bean; boiled/cooked in water,112
Haricot rouge; bouilli/cuit à l'eau,20503,116,9.63,12.3,0.6,Red kidney bean; boiled/cooked in water,116
Lentille; bouillie/cuite à l'eau,20505,0,9.02,12.2,0.38,Lentil; boiled/cooked in water,88.3
Pois cassé; bouilli/cuit à l'eau,20506,0,8.6,16.3,1.49,Split pea; boiled/cooked in water,113.00999999999999
Pois chiche; bouilli/cuit à l'eau,20507,147,8.31,17.7,3,Chick pea; boiled/cooked in water,147
Haricot flageolet; appertisé; égouttés,20508,0,6.1,12.2,0.79,Flageolet bean; canned; drained,80.30999999999999
Lentille; cuisinée; appertisée; égouttée,20510,0,6.28,11.8,0.64,Lentil; seasoned; canned; drained,78.08000000000001
Haricot blanc; appertisé; égoutté,20511,0,6.57,10.9,0.4,Haricot bean; canned; drained,73.47999999999999
Haricot flageolet; bouilli/cuit à l'eau,20513,112,6.75,12,1.1,Flageolet bean; boiled/cooked in water,112
Haricot rouge; appertisé; égoutté,20524,0,8.31,13,0.97,Red kidney bean; canned; drained,93.97000000000001
Haricot mungo; bouilli/cuit à l'eau,20531,0,7.54,11.9,0.55,Mung bean; boiled/cooked in water,82.71000000000001
Pois chiche; appertisé; égoutté,20532,0,6.74,15,2.68,Chick pea; canned; drained,111.08000000000001
Haricot flageolet; vert; bouilli/cuit à l'eau,20540,0,5.63,15.8,1.1,Flageolet bean; green; boiled/cooked in water,95.62
Fève; pelée; surgelée; cuite à l'eau,20542,0,6.4,9,0.5,Broad bean; without peal; frozen; water boiled,66.1
Fève; surgelée; bouillie/cuite à l'eau,20543,0,5.6,7.4,0,Broad bean; frozen; boiled/cooked in water,52
Lentille verte; bouillie/cuite à l'eau,20587,127,10.1,16.2,0.58,Lentil; green; boiled/cooked in water,127
Lentille blonde; bouillie/cuite à l'eau,20588,0,9.7,16.3,0.7,Lentil; blond; boiled/cooked in water,110.3
Lentille corail; bouillie/cuite à l'eau,20589,0,10.6,15,0.5,Lentil; pink or red; boiled/cooked in water,106.9
Légume sec; cuit (aliment moyen),20700,0,8.38,12.1,0.62,Legume; cooked (average),87.5
Fève à écosser; fraîche,20517,0,6.76,4.2,0.67,Broad bean; to shell; fresh,49.870000000000005
Lentille; germée,20521,0,8.86,19,0.58,Lentils; sprouted,116.66
Lupin; graine crue,20534,0,36.2,21.5,9.74,lupin grain; raw,318.46000000000004
Fève; fraîche; surgelée,20536,0,7.5,7.95,0.22,Broad bean; fresh; frozen,63.779999999999994
Haricot flageolet; surgelé,20537,0,9.32,25.6,0.7,flageolet bean; frozen,145.98000000000002
Fève; pelée; surgelée; crue,20541,0,14.9,14.9,0.3,Broad bean; peeled; frozen; raw,121.9
Haricot blanc; sec,20501,0,19.1,43.9,1.78,Haricot bean; dry,268.02
Lentille; sèche,20504,0,25.4,50.6,1.34,Lentil; dried,316.06
Pois cassé; sec,20515,0,22.8,52,1.44,Split pea; dried,312.15999999999997
Pois chiche; sec,20516,0,20.5,47.5,5.85,Chick pea; dried,324.65
Fève; sèche,20518,0,26.1,33.3,1.53,Broad bean; dried,251.37
Haricot rouge; sec,20525,0,22.5,46.1,1.06,Red kidney bean; dried,283.94
Haricot mungo; sec,20530,0,24.5,47.6,1.42,Beans; mung; mature; seeds; dry,301.17999999999995
Lentille corail; sèche,20535,0,27.7,44.9,0.8,Lentil; pink or red; dried,297.59999999999997
Haricot flageolet; vert; sec,20539,0,19.1,42.1,2.6,Flageolet bean; green; dried,268.2
Lentille verte; sèche,20585,0,25.1,44.5,1.8,Lentil; green; dried,294.59999999999997
Lentille blonde; sèche,20586,0,26.1,48.3,1.9,Lentil; blond; dried,314.70000000000005
Abricot; dénoyauté; cru,13000,45.9,0.81,9.01,0,Apricot; pitted; raw,45.9
Ananas; pulpe; cru,13002,54.4,0,11.7,0,Pineapple; pulp; raw,54.4
Banane; pulpe; crue,13005,90.5,1.06,19.7,0,Banana; pulp; raw,90.5
Cassis; cru,13007,0,1.33,9.68,0.86,Black currant; raw,51.78
Cerise; dénoyautée; crue,13008,55.7,0.81,13,0,Cherry; pitted; raw,55.7
Citron; pulpe; cru,13009,27.6,0,1.56,0,Lemon; pulp; raw,27.6
Coing; cru,13010,0,0.51,13.4,0.1,Quince; raw,56.54
Figue; crue,13012,69.4,1.19,13.5,0,Fig; raw,69.4
Fraise; crue,13014,38.6,0.63,6.03,0,Strawberry; raw,38.6
Framboise; crue,13015,49.2,1.19,5.83,0.8,Raspberry; raw,49.2
Fruit de la passion ou maracudja; pulpe et pépins; cru,13016,101,2.13,10.9,3,Passion fruit; pulp and pips; raw,101
Grenade; pulpe et pépins; crue,13018,80.6,1.44,14.3,1.2,Pomegranate; pulp and pips; raw,80.6
Groseille; crue,13019,68.5,1.56,7.06,0.7,Red currant; raw,68.5
Groseille à maquereau; crue,13020,0,0.75,4.88,0.59,Gooseberry; raw,27.83
Kiwi; pulpe et graines; cru,13021,60.5,0.88,11,0.6,Kiwi fruit; pulp and seeds; raw,60.5
Litchi; pulpe; cru,13023,81,1.13,16.1,0,Lychee; pulp; raw,81
Clémentine ou Mandarine; pulpe; crue,13024,47.3,0.81,9.17,0,Clementine or Mandarin orange; pulp; raw -> ARCHIVE,47.3
Mangue; pulpe; crue,13025,73.9,0.63,14.3,0,Mango; pulp; raw,73.9
Melon cantaloup (par ex.: Charentais; de Cavaillon) pulpe; cru,13026,62.7,1.13,14.8,0,Melon; cantaloupe (ex Cavaillon or Charentais melon); pulp; raw,62.7
Mirabelle; crue,13027,76.9,0.63,18,0,Mirabelle plum; raw,76.9
Myrtille; crue,13028,57.7,0.87,10.6,0.33,Blueberry; raw,57.7
Mûre (de ronce); crue,13029,47.3,1.13,6.53,0.7,Blackberry; raw,47.3
Nectarine ou brugnon; pulpe et peau; crue,13030,0,1.16,8.9,0.31,Nectarine; pulp and peel; raw,43.03
Orange; pulpe; crue,13034,45.5,0.75,8.03,0,Orange; pulp; raw,45.5
Papaye; pulpe; crue,13035,42.2,0.75,8.53,0,Papaya; pulp; raw,42.2
Pastèque; pulpe; crue,13036,38.9,0.69,8.33,0,Watermelon; pulp; raw,38.9
Poire; pulpe et peau; crue,13037,0,0.49,10.9,0.27,Pear; pulp and peel; raw,47.99
Pomme; pulpe et peau; crue,13039,0,0.25,11.6,0.25,Apple; pulp and peel; raw,49.65
Pomelo (dit Pamplemousse); pulpe; cru,13040,39.8,0,8.02,0,Grapefruit; pulp; raw,39.8
Prune Reine-Claude; crue,13041,71.3,0.94,16.4,0,Greengage plum; raw,71.3
Pêche; pulpe et peau; crue,13043,0,1.08,9,0.33,Peach; pulp and peel; raw,43.29
Raisin blanc; à gros grain (type Italia ou Dattier); cru,13044,73.4,0.75,16.6,0,Grape; white; raw,73.4
Raisin noir; cru,13045,0,0.63,15.6,0.4,Grape; red; raw,68.52
Rhubarbe; tige; crue,13047,0,0.78,1.47,0.23,Rhubarb; stalk; raw,11.07
Pomme; pulpe; crue,13050,0,0.27,10.7,0.13,Apple; pulp; raw,45.05
Carambole; pulpe; crue,13054,0,1.15,3.9,0.32,Carambola; pulp; raw,23.08
Anone ou chérimole; pulpe; crue,13056,0,1.72,15.4,0.64,Cherimoya; pulp; raw,74.24000000000001
Feijoa; pulpe; crue,13061,0,0.71,8.2,0.42,Feijoa; pulp; raw,39.42
Figue de Barbarie; pulpe et graines; crue,13063,0,0.37,6,0.31,Prickly pear; pulp and seeds; raw,28.27
Kaki; pulpe; cru,13066,68.6,0.88,14.3,0,Persimmon; pulp; raw,68.6
Citron vert ou Lime; pulpe; cru,13067,40.2,1.13,3.14,0,Lime; pulp; raw,40.2
Mûre noire (du mûrier); crue,13071,0,1.44,8.1,0.39,Black mulberry; raw,41.669999999999995
Ramboutan; pulpe; crue,13077,0,0.65,20,0.21,Rambutan; pulp,84.49
Tamarin; fruit mûr; pulpe; cru,13080,0,2.65,57.4,0.6,Tamarind; mature fruit; pulp; raw,245.6
Goyave; pulpe; crue,13083,0,1.59,9.02,0.73,Guava; pulp; raw,49.01
Pomme Canada; pulpe; crue,13085,0,0.4,11.6,0.1,Apple; Canada; pulp; raw,48.9
Pomme Golden; pulpe; crue,13086,54.9,0,11.7,0,Apple; var. Golden; pulp; raw,54.9
Prune; crue,13100,0,0.66,9.92,0.29,Plum; raw,44.93
Raisin Chasselas; cru,13101,79.1,0.75,16.9,0.5,Grape; Chasselas; raw,79.1
Poire; pulpe; crue,13107,0,0.3,10.4,0.1,Pear; peeled; raw,43.7
Griotte; crue,13110,0,1.1,10.5,0.3,Morello cherry; raw,49.1
Raisin; cru,13112,0,0.72,15.7,0.16,Grape; raw,67.11999999999999
Canneberge ou cranberry; crue,13113,0,0.75,7.6,0.13,Cranberry; raw,34.57
Pomme Granny Smith; pulpe; crue,13121,53.9,0,11.4,0,Apple; var. Granny Smith; pulp; raw,53.9
Pomme Granny Smith; pulpe et peau; crue,13122,51.5,0,10.7,0,Apple; var. Granny Smith; pulp and skin; raw,51.5
